"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18","18","C","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C20,C21","2","C_US","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"D1","1","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D2,D3","2","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D4,D5,D6","3","1N47xxA","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"J1","1","Conn_01x02_Pin","","","","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"J2,J3,J4,J5,J6","5","Conn_01x01_Pin","","","","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"L1","1","L","","","","Inductor_THT:L_Radial_D6.0mm_P4.00mm","~"
"Q1","1","TIP42C","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=TIP42.PDF"
"Q2,Q3","2","IRFP4668PbF","","","","Package_TO_SOT_THT:TO-247-3_Vertical","https://www.infineon.com/dgdl/irfp4668pbf.pdf?fileId=5546d462533600a40153562c8528201d"
"Q4","1","MJE13005G","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.onsemi.com/pub_link/Collateral/MJE13005-D.PDF"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15","14","R","","","","Resistor_THT:R_Box_L8.4mm_W2.5mm_P5.08mm","~"
"U1","1","LM311","","","","Package_DIP:DIP-8_W7.62mm","https://www.st.com/resource/en/datasheet/lm311.pdf"
"U2","1","IR2153","","","","Package_DIP:DIP-8_W7.62mm","https://www.infineon.com/dgdl/ir2153.pdf?fileId=5546d462533600a4015355c8c5fc16af"
